https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
utensils-crossed          | \ue2f7     | 58103   
wine                      | \ue2f8     | 58104   
table-2                   | \ue2f9     | 58105   
cloud-moon-rain           | \ue2fa     | 58106   
cloud-sun-rain            | \ue2fb     | 58107   
angry                     | \ue2fc     | 58108   
annoyed                   | \ue2fd     | 58109   
axis-3d                   | \ue2fe     | 58110   
bomb                      | \ue2ff     | 58111   
laugh                     | \ue300     | 58112   
smile-plus                | \ue301     | 58113   
sticker                   | \ue302     | 58114   
sticky-note               | \ue303     | 58115   
calendar-clock            | \ue304     | 58116   
calendar-heart            | \ue305     | 58117   
calendar-search           | \ue306     | 58118   
clipboard-pen             | \ue307     | 58119   
clipboard-pen-line        | \ue308     | 58120   
clipboard-type            | \ue309     | 58121   
cloud-cog                 | \ue30a     | 58122   
cog                       | \ue30b     | 58123   
diff                      | \ue30c     | 58124   
file-archive              | \ue30d     | 58125   
file-axis-3d              | \ue30e     | 58126   
file-badge                | \ue30f     | 58127   
file-box                  | \ue310     | 58128   
file-chart-column         | \ue311     | 58129   
